Tag A,Tag B,Similitud_Coseno_Prob_Topicos
Afectos,Feminismos,0.899
Claudia Sheinbaum,El Salvador,0.899
Agronegocios,Elecciones 2023,0.899
Amazon Prime,Zapping Cultural,0.899
Maternidades,Nietos,0.899
Ecuador,Elecciones,0.899
Fernanda Miño,Palermo,0.899
Amistad,Pakapaka,0.899
O Sea Digamos,Tucumán,0.899
El País,Unión Por La Patria,0.899
A 20 Años Del Estallido,Movimientos Sociales,0.899
Feminismo Negro,Xiomara Castro,0.898
A 20 Años Del 2001,María Eugenia Vidal,0.898
Política Exterior,Presupuesto 2025,0.898
Feminismo Negro,Honduras,0.898
Amor,Cine,0.898
Colombia,Interseccionalidad,0.898
A 20 Años Del Estallido,Nancy Fraser,0.898
Elecciones,Federalismo,0.898
Fascismo,Politica Exterior,0.898
Cine,Tecnologías De Género,0.898
Cristina Fernández De Kirchner,La Libertad Avanza,0.898
Reforma Laboral,Sindicalismo,0.898
Estallido,Nepal,0.898
Donald Trump,Honduras,0.898
Elecciones,La Libertad Avanza,0.898
Arteba,Mutek,0.898
Cordobesismo,Elecciones Legislativas 2021,0.898
Arteba,Artesdigitales,0.898
Clase Obrera,Teletrabajo,0.898
Kirchnerismo,Marcos Peña,0.898
Interseccionalidad,Xiomara Castro,0.898
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Memoria Trans,0.898
Patricia Bullrich,Política,0.898
Corrupción,Karina Milei,0.898
Narcotráfico,Violencia Institucional,0.898
Ahoraen,Redes Sociales,0.898
Docentes,Violencia Escolar,0.898
Democracia,Peronismo,0.898
Agua,Cosas Que Funcionan,0.898
Donald Trump,Xiomara Castro,0.898
Anticomunismo,Juan Grabois,0.898
Derechas,Pro,0.898
Ba,Inundación,0.898
Escuela De Política Y Gobierno,Nancy Fraser,0.898
Axel Kicillof,Ley Ómnibus,0.898
Honduras,Interseccionalidad,0.898
Política Exterior,Populismo,0.898
Fútbol Femenino,Viajes,0.898
Colombia,Feminismo Negro,0.898
Amplify,Arteba,0.898
Adorni,Liberalismo,0.898
Angela Merkel,Feminismo Negro,0.898
Angela Merkel,Interseccionalidad,0.898
Fallo Contra Cfk,Un Año De Milei,0.898
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Violencia De Género,0.898
Cristina Fernández De Kirchner,Vialidad,0.897
Federalismo,Milei,0.897
#Niunamenos,Falsas Denuncias,0.897
Ley Bases,O Sea Digamos,0.897
Estados Unidos,Venezuela,0.897
Angela Merkel,Ecuador,0.897
Alimentación,Comedores Comunitarios,0.897
Nicolas Maduro,Piñera,0.897
Nicaragua,Progresismo,0.897
Retenciones,Sergio Massa,0.897
Inflación,Neoliberalismo,0.897
Discurso,Victoria Villarruel,0.897
Derechas,Discurso,0.897
Disidencias Sexuales,Ni Una Menos,0.897
Discursos Odio,Grupo Clarín,0.897
Anticomunismo,Francia Márquez,0.897
Fake News,Grupo Clarín,0.897
Daniel Ortega,Progresismo,0.897
Liberalismo,Victoria Villarruel,0.897
Amazon Prime,Pedro Almodóvar,0.897
Barbie,Zapping Cultural,0.897
Agronegocios,Sergio Massa,0.897
Conurbano,Vivienda,0.897
Agronegocios,Liberalismo,0.897
Arroyos Urbanos,Arte Ciencia Y Tecnoceno,0.897
Alemania,El Salvador,0.897
#Niunamenos,Varones Unidos,0.897
Escuela De Política Y Gobierno,Randazzo,0.897
Catolicismo,Derecha,0.897
Discapacidad,Escuela Idaes,0.897
Adorni,Libertad,0.897
Liberalismo,Retenciones,0.897
Grupo Clarín,Julia Mengolini,0.897
Arte Ciencia Y Tecnoceno,Ríos Entubados,0.897
Crisis,Desigualdad,0.897
#Niunamenos,Pablo Lautra,0.897
